,gene_ids,feature_types
LINC01715,ENSG00000229388,Gene Expression
AL360012.1,ENSG00000270103,Gene Expression
GMEB1,ENSG00000162419,Gene Expression
YTHDF2,ENSG00000198492,Gene Expression
OPRD1,ENSG00000116329,Gene Expression
AL009181.1,ENSG00000233427,Gene Expression
EPB41,ENSG00000159023,Gene Expression
TMEM200B,ENSG00000253304,Gene Expression
AL357500.1,ENSG00000225750,Gene Expression
SRSF4,ENSG00000116350,Gene Expression
MECR,ENSG00000116353,Gene Expression
AL590729.1,ENSG00000237934,Gene Expression
PTPRU,ENSG00000060656,Gene Expression
LINC01756,ENSG00000230523,Gene Expression
AC092265.1,ENSG00000228176,Gene Expression
AL645944.2,ENSG00000284676,Gene Expression
LINC01648,ENSG00000233399,Gene Expression
AL137076.1,ENSG00000233372,Gene Expression
AL161638.2,ENSG00000236335,Gene Expression
AL161638.1,ENSG00000231949,Gene Expression
MATN1,ENSG00000162510,Gene Expression
MATN1-AS1,ENSG00000186056,Gene Expression
LAPTM5,ENSG00000162511,Gene Expression
AL137027.1,ENSG00000229607,Gene Expression
LINC01778,ENSG00000223382,Gene Expression
AL445235.1,ENSG00000235143,Gene Expression
SDC3,ENSG00000162512,Gene Expression
PUM1,ENSG00000134644,Gene Expression
NKAIN1,ENSG00000084628,Gene Expression
SNRNP40,ENSG00000060688,Gene Expression
ZCCHC17,ENSG00000121766,Gene Expression
AL451070.1,ENSG00000229044,Gene Expression
FABP3,ENSG00000121769,Gene Expression
SERINC2,ENSG00000168528,Gene Expression
AC114488.1,ENSG00000229167,Gene Expression
TINAGL1,ENSG00000142910,Gene Expression
HCRTR1,ENSG00000121764,Gene Expression
PEF1,ENSG00000162517,Gene Expression
AC114488.2,ENSG00000235790,Gene Expression
AC114488.3,ENSG00000264078,Gene Expression
COL16A1,ENSG00000084636,Gene Expression
ADGRB2,ENSG00000121753,Gene Expression
AL354919.2,ENSG00000254545,Gene Expression
SPOCD1,ENSG00000134668,Gene Expression
AL354919.1,ENSG00000203620,Gene Expression
AL136115.2,ENSG00000269967,Gene Expression
PTP4A2,ENSG00000184007,Gene Expression
AL136115.1,ENSG00000228634,Gene Expression
AL136115.3,ENSG00000284702,Gene Expression
KHDRBS1,ENSG00000121774,Gene Expression
AL445248.1,ENSG00000203325,Gene Expression
TMEM39B,ENSG00000121775,Gene Expression
KPNA6,ENSG00000025800,Gene Expression
TXLNA,ENSG00000084652,Gene Expression
CCDC28B,ENSG00000160050,Gene Expression
AL049795.1,ENSG00000224066,Gene Expression
IQCC,ENSG00000160051,Gene Expression
DCDC2B,ENSG00000222046,Gene Expression
TMEM234,ENSG00000160055,Gene Expression
EIF3I,ENSG00000084623,Gene Expression
FAM167B,ENSG00000183615,Gene Expression
LCK,ENSG00000182866,Gene Expression
HDAC1,ENSG00000116478,Gene Expression
MARCKSL1,ENSG00000175130,Gene Expression
AL109945.1,ENSG00000233775,Gene Expression
TSSK3,ENSG00000162526,Gene Expression
FAM229A,ENSG00000225828,Gene Expression
BSDC1,ENSG00000160058,Gene Expression
AL033529.1,ENSG00000254553,Gene Expression
ZBTB8B,ENSG00000273274,Gene Expression
ZBTB8A,ENSG00000160062,Gene Expression
ZBTB8OS,ENSG00000176261,Gene Expression
RBBP4,ENSG00000162521,Gene Expression
SYNC,ENSG00000162520,Gene Expression
AC114489.1,ENSG00000224409,Gene Expression
KIAA1522,ENSG00000162522,Gene Expression
YARS,ENSG00000134684,Gene Expression
S100PBP,ENSG00000116497,Gene Expression
FNDC5,ENSG00000160097,Gene Expression
HPCA,ENSG00000121905,Gene Expression
TMEM54,ENSG00000121900,Gene Expression
RNF19B,ENSG00000116514,Gene Expression
AL020995.1,ENSG00000236065,Gene Expression
AK2,ENSG00000004455,Gene Expression
AZIN2,ENSG00000142920,Gene Expression
TRIM62,ENSG00000116525,Gene Expression
AL662907.3,ENSG00000284721,Gene Expression
ZNF362,ENSG00000160094,Gene Expression
AL513327.3,ENSG00000270115,Gene Expression
A3GALT2,ENSG00000184389,Gene Expression
AL513327.1,ENSG00000225313,Gene Expression
PHC2,ENSG00000134686,Gene Expression
AL513327.2,ENSG00000233246,Gene Expression
ZSCAN20,ENSG00000121903,Gene Expression
CSMD2,ENSG00000121904,Gene Expression
HMGB4,ENSG00000176256,Gene Expression
CSMD2-AS1,ENSG00000231163,Gene Expression
C1orf94,ENSG00000142698,Gene Expression
SMIM12,ENSG00000163866,Gene Expression
GJB5,ENSG00000189280,Gene Expression
GJB4,ENSG00000189433,Gene Expression
AL121988.1,ENSG00000255811,Gene Expression
GJB3,ENSG00000188910,Gene Expression
GJA4,ENSG00000187513,Gene Expression
AL122010.1,ENSG00000230163,Gene Expression
DLGAP3,ENSG00000116544,Gene Expression
AC114490.3,ENSG00000284773,Gene Expression
AC114490.2,ENSG00000271741,Gene Expression
TMEM35B,ENSG00000243749,Gene Expression
ZMYM6,ENSG00000163867,Gene Expression
ZMYM1,ENSG00000197056,Gene Expression
AL590434.1,ENSG00000284640,Gene Expression
SFPQ,ENSG00000116560,Gene Expression
ZMYM4,ENSG00000146463,Gene Expression
ZMYM4-AS1,ENSG00000227409,Gene Expression
KIAA0319L,ENSG00000142687,Gene Expression
NCDN,ENSG00000020129,Gene Expression
AC004865.2,ENSG00000239636,Gene Expression
TFAP2E,ENSG00000116819,Gene Expression
PSMB2,ENSG00000126067,Gene Expression
C1orf216,ENSG00000142686,Gene Expression
CLSPN,ENSG00000092853,Gene Expression
AL354864.1,ENSG00000232335,Gene Expression
AGO4,ENSG00000134698,Gene Expression
AGO1,ENSG00000092847,Gene Expression
AL139286.2,ENSG00000271914,Gene Expression
AGO3,ENSG00000126070,Gene Expression
AL138787.2,ENSG00000271554,Gene Expression
TEKT2,ENSG00000092850,Gene Expression
ADPRHL2,ENSG00000116863,Gene Expression
COL8A2,ENSG00000171812,Gene Expression
TRAPPC3,ENSG00000054116,Gene Expression
MAP7D1,ENSG00000116871,Gene Expression
THRAP3,ENSG00000054118,Gene Expression
SH3D21,ENSG00000214193,Gene Expression
EVA1B,ENSG00000142694,Gene Expression
AL591845.1,ENSG00000116883,Gene Expression
STK40,ENSG00000196182,Gene Expression
LSM10,ENSG00000181817,Gene Expression
OSCP1,ENSG00000116885,Gene Expression
MRPS15,ENSG00000116898,Gene Expression
CSF3R,ENSG00000119535,Gene Expression
AL596257.1,ENSG00000284705,Gene Expression
AC117945.2,ENSG00000284720,Gene Expression
AC117945.1,ENSG00000234481,Gene Expression
GRIK3,ENSG00000163873,Gene Expression
AL031430.1,ENSG00000284650,Gene Expression
AL353604.1,ENSG00000223944,Gene Expression
LINC01137,ENSG00000233621,Gene Expression
ZC3H12A,ENSG00000163874,Gene Expression
MEAF6,ENSG00000163875,Gene Expression
SNIP1,ENSG00000163877,Gene Expression
DNALI1,ENSG00000163879,Gene Expression
GNL2,ENSG00000134697,Gene Expression
RSPO1,ENSG00000169218,Gene Expression
C1orf109,ENSG00000116922,Gene Expression
CDCA8,ENSG00000134690,Gene Expression
EPHA10,ENSG00000183317,Gene Expression
MANEAL,ENSG00000185090,Gene Expression
AL929472.3,ENSG00000233728,Gene Expression
YRDC,ENSG00000196449,Gene Expression
C1orf122,ENSG00000197982,Gene Expression
MTF1,ENSG00000188786,Gene Expression
AL929472.2,ENSG00000230955,Gene Expression
INPP5B,ENSG00000204084,Gene Expression
SF3A3,ENSG00000183431,Gene Expression
FHL3,ENSG00000183386,Gene Expression
UTP11,ENSG00000183520,Gene Expression
POU3F1,ENSG00000185668,Gene Expression
AL139158.2,ENSG00000224592,Gene Expression
AL139158.3,ENSG00000284623,Gene Expression
LINC01343,ENSG00000237290,Gene Expression
LINC01685,ENSG00000238063,Gene Expression
AL354702.2,ENSG00000284632,Gene Expression
RRAGC,ENSG00000116954,Gene Expression
AL139260.1,ENSG00000228436,Gene Expression
MYCBP,ENSG00000214114,Gene Expression
AL139260.3,ENSG00000274944,Gene Expression
GJA9,ENSG00000131233,Gene Expression
RHBDL2,ENSG00000158315,Gene Expression
AKIRIN1,ENSG00000174574,Gene Expression
NDUFS5,ENSG00000168653,Gene Expression
MACF1,ENSG00000127603,Gene Expression
AL442071.1,ENSG00000226438,Gene Expression
BMP8A,ENSG00000183682,Gene Expression
PABPC4,ENSG00000090621,Gene Expression
AL365277.1,ENSG00000228060,Gene Expression
HEYL,ENSG00000163909,Gene Expression
AL035404.2,ENSG00000225903,Gene Expression
NT5C1A,ENSG00000116981,Gene Expression
HPCAL4,ENSG00000116983,Gene Expression
PPIE,ENSG00000084072,Gene Expression
BMP8B,ENSG00000116985,Gene Expression
OXCT2,ENSG00000198754,Gene Expression
AL033527.3,ENSG00000261798,Gene Expression
AL033527.5,ENSG00000284719,Gene Expression
AL033527.4,ENSG00000284678,Gene Expression
TRIT1,ENSG00000043514,Gene Expression
MYCL,ENSG00000116990,Gene Expression
AL033527.2,ENSG00000236546,Gene Expression
MFSD2A,ENSG00000168389,Gene Expression
CAP1,ENSG00000131236,Gene Expression
PPT1,ENSG00000131238,Gene Expression
RLF,ENSG00000117000,Gene Expression
TMCO2,ENSG00000188800,Gene Expression
AL050341.2,ENSG00000259943,Gene Expression
ZMPSTE24,ENSG00000084073,Gene Expression
COL9A2,ENSG00000049089,Gene Expression
SMAP2,ENSG00000084070,Gene Expression
AL031985.4,ENSG00000284677,Gene Expression
ZFP69B,ENSG00000187801,Gene Expression
ZFP69,ENSG00000187815,Gene Expression
AL603839.3,ENSG00000238287,Gene Expression
EXO5,ENSG00000164002,Gene Expression
AL603839.1,ENSG00000227278,Gene Expression
AL603839.2,ENSG00000238186,Gene Expression
ZNF684,ENSG00000117010,Gene Expression
RIMS3,ENSG00000117016,Gene Expression
AL031289.1,ENSG00000237899,Gene Expression
NFYC-AS1,ENSG00000272145,Gene Expression
NFYC,ENSG00000066136,Gene Expression
KCNQ4,ENSG00000117013,Gene Expression
CITED4,ENSG00000179862,Gene Expression
AC119677.1,ENSG00000229528,Gene Expression
CTPS1,ENSG00000171793,Gene Expression
SLFNL1-AS1,ENSG00000281207,Gene Expression
SLFNL1,ENSG00000171790,Gene Expression
SCMH1,ENSG00000010803,Gene Expression
AC093151.3,ENSG00000235358,Gene Expression
FOXO6,ENSG00000204060,Gene Expression
AC093151.2,ENSG00000229901,Gene Expression
EDN2,ENSG00000127129,Gene Expression
HIVEP3,ENSG00000127124,Gene Expression
AL445933.2,ENSG00000230881,Gene Expression
AC119676.1,ENSG00000284895,Gene Expression
GUCA2B,ENSG00000044012,Gene Expression
GUCA2A,ENSG00000197273,Gene Expression
FOXJ3,ENSG00000198815,Gene Expression
RIMKLA,ENSG00000177181,Gene Expression
ZMYND12,ENSG00000066185,Gene Expression
PPCS,ENSG00000127125,Gene Expression
CCDC30,ENSG00000186409,Gene Expression
PPIH,ENSG00000171960,Gene Expression
AC098484.2,ENSG00000234917,Gene Expression
YBX1,ENSG00000065978,Gene Expression
CLDN19,ENSG00000164007,Gene Expression
P3H1,ENSG00000117385,Gene Expression
C1orf50,ENSG00000164008,Gene Expression
AC098484.3,ENSG00000283580,Gene Expression
AC098484.1,ENSG00000228452,Gene Expression
TMEM269,ENSG00000274386,Gene Expression
SVBP,ENSG00000177868,Gene Expression
ERMAP,ENSG00000164010,Gene Expression
AL512353.1,ENSG00000228192,Gene Expression
ZNF691,ENSG00000164011,Gene Expression
SLC2A1,ENSG00000117394,Gene Expression
SLC2A1-AS1,ENSG00000227533,Gene Expression
AC099795.1,ENSG00000283973,Gene Expression
FAM183A,ENSG00000186973,Gene Expression
EBNA1BP2,ENSG00000117395,Gene Expression
CFAP57,ENSG00000243710,Gene Expression
TMEM125,ENSG00000179178,Gene Expression
C1orf210,ENSG00000253313,Gene Expression
TIE1,ENSG00000066056,Gene Expression
MPL,ENSG00000117400,Gene Expression
AL139289.2,ENSG00000234694,Gene Expression
CDC20,ENSG00000117399,Gene Expression
ELOVL1,ENSG00000066322,Gene Expression
MED8,ENSG00000159479,Gene Expression
AL139289.1,ENSG00000229431,Gene Expression
SZT2,ENSG00000198198,Gene Expression
SZT2-AS1,ENSG00000229372,Gene Expression
HYI,ENSG00000178922,Gene Expression
PTPRF,ENSG00000142949,Gene Expression
AL451062.3,ENSG00000284989,Gene Expression
KDM4A,ENSG00000066135,Gene Expression
KDM4A-AS1,ENSG00000236200,Gene Expression
ST3GAL3,ENSG00000126091,Gene Expression
AL451062.1,ENSG00000229444,Gene Expression
ARTN,ENSG00000117407,Gene Expression
AL357079.1,ENSG00000237950,Gene Expression
IPO13,ENSG00000117408,Gene Expression
DPH2,ENSG00000132768,Gene Expression
ATP6V0B,ENSG00000117410,Gene Expression
B4GALT2,ENSG00000117411,Gene Expression
CCDC24,ENSG00000159214,Gene Expression
SLC6A9,ENSG00000196517,Gene Expression
AL139220.2,ENSG00000230615,Gene Expression
KLF17,ENSG00000171872,Gene Expression
KLF18,ENSG00000283039,Gene Expression
DMAP1,ENSG00000178028,Gene Expression
ERI3,ENSG00000117419,Gene Expression
RNF220,ENSG00000187147,Gene Expression
TMEM53,ENSG00000126106,Gene Expression
ARMH1,ENSG00000198520,Gene Expression
KIF2C,ENSG00000142945,Gene Expression
AL592166.1,ENSG00000225721,Gene Expression
RPS8,ENSG00000142937,Gene Expression
BEST4,ENSG00000142959,Gene Expression
PLK3,ENSG00000173846,Gene Expression
TCTEX1D4,ENSG00000188396,Gene Expression
BTBD19,ENSG00000222009,Gene Expression
PTCH2,ENSG00000117425,Gene Expression
EIF2B3,ENSG00000070785,Gene Expression
HECTD3,ENSG00000126107,Gene Expression
UROD,ENSG00000126088,Gene Expression
ZSWIM5,ENSG00000162415,Gene Expression
LINC01144,ENSG00000281912,Gene Expression
HPDL,ENSG00000186603,Gene Expression
MUTYH,ENSG00000132781,Gene Expression
TOE1,ENSG00000132773,Gene Expression
TESK2,ENSG00000070759,Gene Expression
CCDC163,ENSG00000280670,Gene Expression
MMACHC,ENSG00000132763,Gene Expression
PRDX1,ENSG00000117450,Gene Expression
AKR1A1,ENSG00000117448,Gene Expression
NASP,ENSG00000132780,Gene Expression
CCDC17,ENSG00000159588,Gene Expression
GPBP1L1,ENSG00000159592,Gene Expression
TMEM69,ENSG00000159596,Gene Expression
IPP,ENSG00000197429,Gene Expression
MAST2,ENSG00000086015,Gene Expression
PIK3R3,ENSG00000117461,Gene Expression
AL358075.4,ENSG00000278139,Gene Expression
AL358075.1,ENSG00000226957,Gene Expression
AL358075.2,ENSG00000227857,Gene Expression
TSPAN1,ENSG00000117472,Gene Expression
AL672043.1,ENSG00000250719,Gene Expression
POMGNT1,ENSG00000085998,Gene Expression
LURAP1,ENSG00000171357,Gene Expression
RAD54L,ENSG00000085999,Gene Expression
LRRC41,ENSG00000132128,Gene Expression
UQCRH,ENSG00000173660,Gene Expression
NSUN4,ENSG00000117481,Gene Expression
FAAH,ENSG00000117480,Gene Expression
DMBX1,ENSG00000197587,Gene Expression
AL136373.1,ENSG00000282881,Gene Expression
MKNK1-AS1,ENSG00000269956,Gene Expression
KNCN,ENSG00000162456,Gene Expression
MKNK1,ENSG00000079277,Gene Expression
MOB3C,ENSG00000142961,Gene Expression
ATPAF1,ENSG00000123472,Gene Expression
TEX38,ENSG00000186118,Gene Expression
EFCAB14-AS1,ENSG00000228237,Gene Expression
EFCAB14,ENSG00000159658,Gene Expression
CYP4B1,ENSG00000142973,Gene Expression
CYP4A11,ENSG00000187048,Gene Expression
CYP4X1,ENSG00000186377,Gene Expression
CYP4Z1,ENSG00000186160,Gene Expression
CYP4A22-AS1,ENSG00000225506,Gene Expression
CYP4A22,ENSG00000162365,Gene Expression
LINC00853,ENSG00000224805,Gene Expression
PDZK1IP1,ENSG00000162366,Gene Expression
TAL1,ENSG00000162367,Gene Expression
AL135960.1,ENSG00000226252,Gene Expression
STIL,ENSG00000123473,Gene Expression
CMPK1,ENSG00000162368,Gene Expression
LINC01389,ENSG00000225762,Gene Expression
FOXE3,ENSG00000186790,Gene Expression
FOXD2-AS1,ENSG00000237424,Gene Expression
FOXD2,ENSG00000186564,Gene Expression
LINC01738,ENSG00000227947,Gene Expression
TRABD2B,ENSG00000269113,Gene Expression
AL691459.1,ENSG00000223814,Gene Expression
AC096541.1,ENSG00000225028,Gene Expression
AL356289.1,ENSG00000226133,Gene Expression
AL356289.2,ENSG00000231413,Gene Expression
AL109659.1,ENSG00000223720,Gene Expression
SLC5A9,ENSG00000117834,Gene Expression
AL109659.2,ENSG00000272491,Gene Expression
SPATA6,ENSG00000132122,Gene Expression
AGBL4,ENSG00000186094,Gene Expression
BEND5,ENSG00000162373,Gene Expression
AC099788.1,ENSG00000229846,Gene Expression
AL590432.1,ENSG00000230114,Gene Expression
ELAVL4,ENSG00000162374,Gene Expression
AL592182.2,ENSG00000237337,Gene Expression
AL592182.1,ENSG00000233407,Gene Expression
AL596275.2,ENSG00000284696,Gene Expression
AL592182.3,ENSG00000284645,Gene Expression
DMRTA2,ENSG00000142700,Gene Expression
FAF1,ENSG00000185104,Gene Expression
AL049637.1,ENSG00000225767,Gene Expression
CDKN2C,ENSG00000123080,Gene Expression
C1orf185,ENSG00000204006,Gene Expression
LINC01562,ENSG00000203356,Gene Expression
RNF11,ENSG00000123091,Gene Expression
AL162430.2,ENSG00000236434,Gene Expression
TTC39A,ENSG00000085831,Gene Expression
TTC39A-AS1,ENSG00000261664,Gene Expression
EPS15,ENSG00000085832,Gene Expression
AC104170.2,ENSG00000238140,Gene Expression
AC104170.1,ENSG00000227070,Gene Expression
OSBPL9,ENSG00000117859,Gene Expression
NRDC,ENSG00000078618,Gene Expression
AL050343.1,ENSG00000266993,Gene Expression
AL050343.2,ENSG00000272175,Gene Expression
RAB3B,ENSG00000169213,Gene Expression
TXNDC12,ENSG00000117862,Gene Expression
KTI12,ENSG00000198841,Gene Expression
AL445685.1,ENSG00000223390,Gene Expression
TXNDC12-AS1,ENSG00000228369,Gene Expression
BTF3L4,ENSG00000134717,Gene Expression
ZFYVE9,ENSG00000157077,Gene Expression
CC2D1B,ENSG00000154222,Gene Expression
AL513218.1,ENSG00000272100,Gene Expression
ORC1,ENSG00000085840,Gene Expression
PRPF38A,ENSG00000134748,Gene Expression
TUT4,ENSG00000134744,Gene Expression
AL591167.1,ENSG00000272371,Gene Expression
GPX7,ENSG00000116157,Gene Expression
SHISAL2A,ENSG00000182183,Gene Expression
COA7,ENSG00000162377,Gene Expression
ZYG11B,ENSG00000162378,Gene Expression
ZYG11A,ENSG00000203995,Gene Expression
AC099677.4,ENSG00000242391,Gene Expression
ECHDC2,ENSG00000121310,Gene Expression
SCP2,ENSG00000116171,Gene Expression
PODN,ENSG00000174348,Gene Expression
AL445183.1,ENSG00000232993,Gene Expression
SLC1A7,ENSG00000162383,Gene Expression
AL445183.2,ENSG00000235563,Gene Expression
CPT2,ENSG00000157184,Gene Expression
AL606760.2,ENSG00000236723,Gene Expression
C1orf123,ENSG00000162384,Gene Expression
AL606760.3,ENSG00000259818,Gene Expression
MAGOH,ENSG00000162385,Gene Expression
AL606760.1,ENSG00000226754,Gene Expression
LRP8,ENSG00000157193,Gene Expression
AL355483.4,ENSG00000234578,Gene Expression
AL355483.2,ENSG00000228838,Gene Expression
AL355483.3,ENSG00000232762,Gene Expression
LINC01771,ENSG00000225675,Gene Expression
AC119428.1,ENSG00000226938,Gene Expression
AC119428.2,ENSG00000230138,Gene Expression
DMRTB1,ENSG00000143006,Gene Expression
GLIS1,ENSG00000174332,Gene Expression
NDC1,ENSG00000058804,Gene Expression
YIPF1,ENSG00000058799,Gene Expression
DIO1,ENSG00000211452,Gene Expression
HSPB11,ENSG00000081870,Gene Expression
LRRC42,ENSG00000116212,Gene Expression
LDLRAD1,ENSG00000203985,Gene Expression
TMEM59,ENSG00000116209,Gene Expression
TCEANC2,ENSG00000116205,Gene Expression
AL357673.1,ENSG00000256407,Gene Expression
CDCP2,ENSG00000157211,Gene Expression
AL357673.2,ENSG00000280425,Gene Expression
CYB5RL,ENSG00000215883,Gene Expression
MRPL37,ENSG00000116221,Gene Expression
SSBP3,ENSG00000157216,Gene Expression
SSBP3-AS1,ENSG00000198711,Gene Expression
AL161644.1,ENSG00000225632,Gene Expression
AL035415.1,ENSG00000232245,Gene Expression
AC099796.1,ENSG00000235741,Gene Expression
ACOT11,ENSG00000162390,Gene Expression
FAM151A,ENSG00000162391,Gene Expression
MROH7,ENSG00000184313,Gene Expression
MROH7-TTC4,ENSG00000271723,Gene Expression
TTC4,ENSG00000243725,Gene Expression
PARS2,ENSG00000162396,Gene Expression
TTC22,ENSG00000006555,Gene Expression
AC096536.2,ENSG00000237453,Gene Expression
LEXM,ENSG00000162398,Gene Expression
DHCR24,ENSG00000116133,Gene Expression
AC096536.3,ENSG00000242396,Gene Expression
AC096536.1,ENSG00000233203,Gene Expression
TMEM61,ENSG00000143001,Gene Expression
AL590440.1,ENSG00000233271,Gene Expression
BSND,ENSG00000162399,Gene Expression
PCSK9,ENSG00000169174,Gene Expression
USP24,ENSG00000162402,Gene Expression
MIR4422HG,ENSG00000231090,Gene Expression
AL603840.1,ENSG00000234810,Gene Expression
LINC01753,ENSG00000230250,Gene Expression
LINC01755,ENSG00000233079,Gene Expression
AL353681.1,ENSG00000235612,Gene Expression
AC119674.1,ENSG00000260971,Gene Expression
AC119674.2,ENSG00000284686,Gene Expression
LINC01767,ENSG00000223956,Gene Expression
PLPP3,ENSG00000162407,Gene Expression
PRKAA2,ENSG00000162409,Gene Expression
FYB2,ENSG00000187889,Gene Expression
AL360295.1,ENSG00000229913,Gene Expression
C8A,ENSG00000157131,Gene Expression
C8B,ENSG00000021852,Gene Expression
AL161740.1,ENSG00000236341,Gene Expression
DAB1,ENSG00000173406,Gene Expression
AL390243.1,ENSG00000227935,Gene Expression
DAB1-AS1,ENSG00000226759,Gene Expression
AL445193.2,ENSG00000235038,Gene Expression
OMA1,ENSG00000162600,Gene Expression
TACSTD2,ENSG00000184292,Gene Expression
MYSM1,ENSG00000162601,Gene Expression
AL136985.3,ENSG00000283445,Gene Expression
JUN,ENSG00000177606,Gene Expression
LINC01135,ENSG00000234807,Gene Expression
AL136985.2,ENSG00000272226,Gene Expression
AL136985.1,ENSG00000231740,Gene Expression
AC105277.1,ENSG00000232453,Gene Expression
LINC01358,ENSG00000237352,Gene Expression
AL592431.2,ENSG00000241042,Gene Expression
