,gene_ids,n_cells
FCGR1B,ENSG00000198019,61
RP11-343N15.5,ENSG00000269996,39
RP11-344P13.6,ENSG00000272583,18
RP11-423O2.5,ENSG00000234978,5
RP11-782C8.1,ENSG00000230850,6
RP6-206I17.1,ENSG00000223804,3
RP6-206I17.2,ENSG00000231734,4
LINC00623,ENSG00000235398,5
AL592284.1,ENSG00000231360,13
RP11-640M9.1,ENSG00000236943,43
NBPF9,ENSG00000168614,28
PDE4DIP,ENSG00000178104,59
AL590452.1,ENSG00000268172,17
RP11-458D21.6,ENSG00000272709,3
NOTCH2NL,ENSG00000213240,275
NBPF10,ENSG00000163386,193
TXNIP,ENSG00000117289,2036
POLR3GL,ENSG00000121851,552
ANKRD34A,ENSG00000181039,7
RP11-315I20.1,ENSG00000234222,10
LIX1L,ENSG00000152022,139
RBM8A,ENSG00000131795,850
PEX11B,ENSG00000131779,106
ITGA10,ENSG00000143127,5
ANKRD35,ENSG00000198483,12
PIAS3,ENSG00000131788,22
NUDT17,ENSG00000186364,9
POLR3C,ENSG00000186141,95
RNF115,ENSG00000121848,232
CD160,ENSG00000117281,79
GPR89A,ENSG00000117262,44
NBPF12,ENSG00000186275,35
PRKAB2,ENSG00000131791,34
RP11-337C18.8,ENSG00000237188,10
FMO5,ENSG00000131781,23
CHD1L,ENSG00000131778,66
BCL9,ENSG00000116128,22
ACP6,ENSG00000162836,28
NBPF14,ENSG00000122497,24
RP11-89F3.2,ENSG00000236140,4
NBPF20,ENSG00000203832,4
NBPF15,ENSG00000243452,10
RP11-666A1.5,ENSG00000237253,3
RP11-14N7.2,ENSG00000232527,10
RP11-403I13.4,ENSG00000223779,4
RP11-403I13.8,ENSG00000235999,56
RP11-277L2.3,ENSG00000233368,92
RP11-353N4.4,ENSG00000223759,31
FCGR1A,ENSG00000150337,119
HIST2H2BF,ENSG00000203814,3
RP11-196G18.24,ENSG00000272993,5
HIST2H2BE,ENSG00000184678,89
HIST2H2AC,ENSG00000184260,75
HIST2H2AB,ENSG00000184270,6
BOLA1,ENSG00000178096,102
SV2A,ENSG00000159164,4
SF3B4,ENSG00000143368,232
MTMR11,ENSG00000014914,135
OTUD7B,ENSG00000163113,7
VPS45,ENSG00000136631,72
PLEKHO1,ENSG00000023902,220
ANP32E,ENSG00000143401,204
APH1A,ENSG00000117362,547
C1orf54,ENSG00000118292,41
C1orf51,ENSG00000159208,5
MRPS21,ENSG00000187145,609
PRPF3,ENSG00000117360,63
RPRD2,ENSG00000163125,103
TARS2,ENSG00000143374,43
ADAMTSL4,ENSG00000143382,28
MCL1,ENSG00000143384,1097
ENSA,ENSG00000143420,834
GOLPH3L,ENSG00000143457,56
CTSS,ENSG00000163131,1396
CTSK,ENSG00000143387,9
ARNT,ENSG00000143437,56
SETDB1,ENSG00000143379,58
CERS2,ENSG00000143418,247
FAM63A,ENSG00000143409,32
PRUNE,ENSG00000143363,32
C1orf56,ENSG00000143443,46
CDC42SE1,ENSG00000197622,587
MLLT11,ENSG00000213190,85
GABPB2,ENSG00000143458,70
TNFAIP8L2,ENSG00000163154,267
SCNM1,ENSG00000163156,334
VPS72,ENSG00000163159,189
PIP5K1A,ENSG00000143398,55
PSMD4,ENSG00000159352,767
RP11-126K1.2,ENSG00000232671,14
ZNF687,ENSG00000143373,26
PI4KB,ENSG00000143393,137
RFX5,ENSG00000143390,83
RP11-126K1.6,ENSG00000237976,14
PSMB4,ENSG00000159377,485
POGZ,ENSG00000143442,96
TUFT1,ENSG00000143367,7
SNX27,ENSG00000143376,114
MRPL9,ENSG00000143436,378
OAZ3,ENSG00000143450,5
RP11-98D18.3,ENSG00000249602,3
TDRKH,ENSG00000182134,17
RP11-98D18.9,ENSG00000203288,11
RORC,ENSG00000143365,22
C2CD4D,ENSG00000225556,5
THEM4,ENSG00000159445,151
S100A10,ENSG00000197747,1727
S100A11,ENSG00000163191,1421
S100A9,ENSG00000163220,962
S100A12,ENSG00000163221,149
S100A8,ENSG00000143546,743
S100A6,ENSG00000197956,2109
S100A5,ENSG00000196420,4
S100A4,ENSG00000196154,2194
S100A13,ENSG00000189171,21
CHTOP,ENSG00000160679,274
SNAPIN,ENSG00000143553,313
ILF2,ENSG00000143621,548
INTS3,ENSG00000143624,42
SLC27A3,ENSG00000143554,95
GATAD2B,ENSG00000143614,102
DENND4B,ENSG00000198837,111
CRTC2,ENSG00000160741,86
SLC39A1,ENSG00000143570,169
CREB3L4,ENSG00000143578,29
JTB,ENSG00000143543,1145
RP11-422P24.11,ENSG00000272654,5
RAB13,ENSG00000143545,43
RPS27,ENSG00000177954,2682
TPM3,ENSG00000143549,1276
C1orf43,ENSG00000143612,612
UBAP2L,ENSG00000143569,114
HAX1,ENSG00000143575,577
AQP10,ENSG00000143595,3
ATP8B2,ENSG00000143515,28
RP11-350G8.5,ENSG00000228013,6
IL6R,ENSG00000160712,163
UBE2Q1,ENSG00000160714,58
ADAR,ENSG00000160710,484
PMVK,ENSG00000163344,392
RP11-307C12.13,ENSG00000270361,11
PBXIP1,ENSG00000163346,433
PYGO2,ENSG00000163348,55
RP11-307C12.12,ENSG00000271380,5
SHC1,ENSG00000160691,65
CKS1B,ENSG00000173207,187
FLAD1,ENSG00000160688,143
ZBTB7B,ENSG00000160685,92
ADAM15,ENSG00000143537,56
EFNA4,ENSG00000243364,63
EFNA3,ENSG00000143590,6
SLC50A1,ENSG00000169241,163
DPM3,ENSG00000179085,166
KRTCAP2,ENSG00000163463,823
TRIM46,ENSG00000163462,9
THBS3,ENSG00000169231,11
MTX1,ENSG00000173171,136
GBA,ENSG00000177628,30
FAM189B,ENSG00000160767,28
SCAMP3,ENSG00000116521,240
CLK2,ENSG00000176444,38
FDPS,ENSG00000160752,373
RUSC1-AS1,ENSG00000225855,5
RUSC1,ENSG00000160753,65
ASH1L,ENSG00000116539,154
MSTO1,ENSG00000125459,11
YY1AP1,ENSG00000163374,139
DAP3,ENSG00000132676,468
GON4L,ENSG00000116580,186
SYT11,ENSG00000132718,37
RIT1,ENSG00000143622,89
KIAA0907,ENSG00000132680,125
ARHGEF2,ENSG00000116584,226
RP11-336K24.12,ENSG00000273002,4
SSR2,ENSG00000163479,1657
UBQLN4,ENSG00000160803,23
LAMTOR2,ENSG00000116586,601
RAB25,ENSG00000132698,10
LMNA,ENSG00000160789,169
SEMA4A,ENSG00000196189,105
SLC25A44,ENSG00000160785,38
PMF1,ENSG00000160783,365
BGLAP,ENSG00000242252,6
SMG5,ENSG00000198952,44
TMEM79,ENSG00000163472,31
C1orf85,ENSG00000198715,74
CCT3,ENSG00000163468,561
C1orf61,ENSG00000125462,3
MEF2D,ENSG00000116604,81
TTC24,ENSG00000187862,8
APOA1BP,ENSG00000163382,288
GPATCH4,ENSG00000160818,106
ISG20L2,ENSG00000143319,147
RRNAD1,ENSG00000143303,48
MRPL24,ENSG00000143314,229
HDGF,ENSG00000143321,148
PRCC,ENSG00000143294,150
SH2D2A,ENSG00000027869,164
ARHGEF11,ENSG00000132694,8
ETV3,ENSG00000117036,45
FCRL5,ENSG00000143297,32
FCRL3,ENSG00000160856,48
FCRL2,ENSG00000132704,47
FCRL1,ENSG00000163534,117
CD1D,ENSG00000158473,146
CD1A,ENSG00000158477,6
CD1C,ENSG00000158481,71
CD1B,ENSG00000158485,3
CD1E,ENSG00000158488,3
MNDA,ENSG00000163563,340
PYHIN1,ENSG00000163564,160
IFI16,ENSG00000163565,475
AIM2,ENSG00000163568,61
FCER1A,ENSG00000179639,55
DUSP23,ENSG00000158716,269
FCRL6,ENSG00000181036,95
SLAMF8,ENSG00000158714,4
C1orf204,ENSG00000188004,3
VSIG8,ENSG00000243284,5
TAGLN2,ENSG00000158710,1371
PIGM,ENSG00000143315,31
IGSF8,ENSG00000162729,125
RP11-536C5.7,ENSG00000227741,7
PEA15,ENSG00000162734,84
DCAF8,ENSG00000132716,139
PEX19,ENSG00000162735,112
COPA,ENSG00000122218,161
NCSTN,ENSG00000162736,138
SLAMF6,ENSG00000162739,130
CD84,ENSG00000066294,163
SLAMF1,ENSG00000117090,88
RP11-404F10.2,ENSG00000228863,5
CD48,ENSG00000117091,1873
SLAMF7,ENSG00000026751,76
LY9,ENSG00000122224,253
CD244,ENSG00000122223,96
ITLN1,ENSG00000179914,3
F11R,ENSG00000158769,21
TSTD1,ENSG00000215845,606
USF1,ENSG00000158773,52
ARHGAP30,ENSG00000186517,438
KLHDC9,ENSG00000162755,3
PFDN2,ENSG00000143256,525
NIT1,ENSG00000158793,126
DEDD,ENSG00000158796,82
UFC1,ENSG00000143222,1012
USP21,ENSG00000143258,27
PPOX,ENSG00000143224,53
B4GALT3,ENSG00000158850,173
NDUFS2,ENSG00000158864,459
FCER1G,ENSG00000158869,964
TOMM40L,ENSG00000158882,26
MPZ,ENSG00000158887,12
SDHC,ENSG00000143252,578
FCGR2A,ENSG00000143226,226
HSPA6,ENSG00000173110,52
FCGR3A,ENSG00000203747,497
FCGR2B,ENSG00000072694,77
FCGR3B,ENSG00000162747,13
FCRLA,ENSG00000132185,117
FCRLB,ENSG00000162746,23
DUSP12,ENSG00000081721,125
ATF6,ENSG00000118217,106
SH2D1B,ENSG00000198574,64
UHMK1,ENSG00000152332,110
RP11-359K18.3,ENSG00000259788,3
UAP1,ENSG00000117143,99
HSD17B7,ENSG00000132196,97
RP11-267N12.3,ENSG00000232995,10
NUF2,ENSG00000143228,7
PBX1,ENSG00000185630,4
MGST3,ENSG00000143198,580
ALDH9A1,ENSG00000143149,288
TMCO1,ENSG00000143183,469
RP11-466F5.8,ENSG00000224358,3
UCK2,ENSG00000143179,30
POGK,ENSG00000143157,50
TADA1,ENSG00000152382,31
GPA33,ENSG00000143167,28
RP11-277B15.3,ENSG00000272205,4
POU2F1,ENSG00000143190,55
CD247,ENSG00000198821,721
RP11-104L21.3,ENSG00000273160,34
CREG1,ENSG00000143162,188
RP3-455J7.4,ENSG00000241666,8
RCSD1,ENSG00000198771,583
MPZL1,ENSG00000197965,29
MPC2,ENSG00000143158,427
DCAF6,ENSG00000143164,85
TIPRL,ENSG00000143155,167
SFT2D2,ENSG00000213064,91
TBX19,ENSG00000143178,5
XCL2,ENSG00000143185,138
XCL1,ENSG00000143184,86
ATP1B1,ENSG00000143153,13
NME7,ENSG00000143156,34
BLZF1,ENSG00000117475,53
SLC19A2,ENSG00000117479,4
F5,ENSG00000198734,18
SELP,ENSG00000174175,6
C1orf112,ENSG00000000460,11
SELL,ENSG00000188404,1264
METTL18,ENSG00000171806,108
SCYL3,ENSG00000000457,61
KIFAP3,ENSG00000075945,44
GORAB,ENSG00000120370,27
FMO4,ENSG00000076258,11
PRRC2C,ENSG00000117523,519
VAMP4,ENSG00000117533,87
METTL13,ENSG00000010165,75
DNM3,ENSG00000197959,7
PIGC,ENSG00000135845,288
SUCO,ENSG00000094975,53
FASLG,ENSG00000117560,38
TNFSF4,ENSG00000117586,12
RP11-296O14.3,ENSG00000203739,21
PRDX6,ENSG00000117592,770
KLHL20,ENSG00000076321,91
CENPL,ENSG00000120334,29
DARS2,ENSG00000117593,15
ZBTB37,ENSG00000185278,25
RC3H1,ENSG00000135870,74
RP11-160H22.5,ENSG00000227373,4
RABGAP1L,ENSG00000152061,256
CACYBP,ENSG00000116161,522
MRPS14,ENSG00000120333,194
KIAA0040,ENSG00000235750,167
RP11-318C24.2,ENSG00000227740,4
RFWD2,ENSG00000143207,118
RP5-1098D14.1,ENSG00000273384,4
RALGPS2,ENSG00000116191,90
FAM20B,ENSG00000116199,28
TOR3A,ENSG00000186283,196
ABL2,ENSG00000143322,46
SOAT1,ENSG00000057252,96
TOR1AIP2,ENSG00000169905,79
RP11-533E19.7,ENSG00000272906,20
TOR1AIP1,ENSG00000143337,158
RP11-533E19.5,ENSG00000260360,7
CEP350,ENSG00000135837,117
QSOX1,ENSG00000116260,97
RP5-1180C10.2,ENSG00000230124,6
ACBD6,ENSG00000135847,175
XPR1,ENSG00000143324,27
RP11-46A10.5,ENSG00000243155,3
STX6,ENSG00000135823,50
MR1,ENSG00000153029,106
IER5,ENSG00000162783,165
RP11-309G3.3,ENSG00000272198,9
GLUL,ENSG00000135821,328
RNASEL,ENSG00000135828,27
RGS16,ENSG00000143333,16
NPL,ENSG00000135838,93
DHX9,ENSG00000135829,179
LAMC1,ENSG00000135862,3
SMG7,ENSG00000116698,53
NCF2,ENSG00000116701,468
ARPC5,ENSG00000162704,1409
RGL1,ENSG00000143344,9
COLGALT2,ENSG00000198756,6
TSEN15,ENSG00000198860,177
C1orf21,ENSG00000116667,88
EDEM3,ENSG00000116406,35
FAM129A,ENSG00000135842,62
RNF2,ENSG00000121481,93
TRMT1L,ENSG00000121486,50
SWT1,ENSG00000116668,15
IVNS1ABP,ENSG00000116679,178
TPR,ENSG00000047410,425
C1orf27,ENSG00000157181,45
PTGS2,ENSG00000073756,10
RGS18,ENSG00000150681,89
RGS1,ENSG00000090104,280
RGS2,ENSG00000116741,745
UCHL5,ENSG00000116750,118
TROVE2,ENSG00000116747,221
RP11-101E13.5,ENSG00000272579,4
GLRX2,ENSG00000023572,75
CDC73,ENSG00000134371,124
B3GALT2,ENSG00000162630,5
CFH,ENSG00000000971,24
ASPM,ENSG00000066279,5
ZBTB41,ENSG00000177888,12
CRB1,ENSG00000134376,4
DENND1B,ENSG00000213047,62
C1orf53,ENSG00000203724,14
NEK7,ENSG00000151414,161
RP11-553K8.2,ENSG00000223881,5
PTPRC,ENSG00000081237,1225
MIR181A1HG,ENSG00000229989,19
ZNF281,ENSG00000162702,77
DDX59,ENSG00000118197,77
CAMSAP2,ENSG00000118200,6
KIF21B,ENSG00000116852,36
TMEM9,ENSG00000116857,88
PHLDA3,ENSG00000174307,6
CSRP1,ENSG00000159176,188
RP11-134G8.7,ENSG00000224536,4
RPS10P7,ENSG00000223396,8
NAV1,ENSG00000134369,11
IPO9-AS1,ENSG00000231871,6
IPO9,ENSG00000198700,83
SHISA4,ENSG00000198892,4
TIMM17A,ENSG00000134375,202
RNPEP,ENSG00000176393,249
ARL8A,ENSG00000143862,74
PTPN7,ENSG00000143851,252
LGR6,ENSG00000133067,9
UBE2T,ENSG00000077152,49
PPP1R12B,ENSG00000077157,15
KDM5B,ENSG00000117139,32
RABIF,ENSG00000183155,156
KLHL12,ENSG00000117153,51
ADIPOR1,ENSG00000159346,350
CYB5R1,ENSG00000159348,132
TMEM183A,ENSG00000163444,192
RP11-134P9.3,ENSG00000231507,20
LINC01136,ENSG00000233791,14
BTG2,ENSG00000159388,965
ATP2B4,ENSG00000058668,88
LAX1,ENSG00000122188,31
ZC3H11A,ENSG00000058673,119
ZBED6,ENSG00000257315,32
SNRPE,ENSG00000182004,426
SOX13,ENSG00000143842,3
PPP1R15B,ENSG00000158615,79
PIK3C2B,ENSG00000133056,17
MDM4,ENSG00000198625,189
TMEM81,ENSG00000174529,4
RBBP5,ENSG00000117222,42
DSTYK,ENSG00000133059,70
TMCC2,ENSG00000133069,6
NUAK2,ENSG00000163545,59
CDK18,ENSG00000117266,6
MFSD4,ENSG00000174514,8
ELK4,ENSG00000158711,48
SLC45A3,ENSG00000158715,7
NUCKS1,ENSG00000069275,481
RAB7L1,ENSG00000117280,231
SLC41A1,ENSG00000133065,29
PM20D1,ENSG00000162877,3
FAM72A,ENSG00000196550,10
C1orf186,ENSG00000196533,5
SRGAP2,ENSG00000163486,39
IKBKE,ENSG00000143466,145
RASSF5,ENSG00000136653,497
EIF2D,ENSG00000143486,144
RP11-343H5.6,ENSG00000237605,5
MAPKAPK2,ENSG00000162889,83
IL10,ENSG00000136634,4
IL24,ENSG00000162892,13
FAIM3,ENSG00000162894,561
YOD1,ENSG00000180667,5
PFKFB2,ENSG00000123836,3
C4BPB,ENSG00000123843,3
CD55,ENSG00000196352,549
CR2,ENSG00000117322,10
CR1,ENSG00000203710,45
CD46,ENSG00000117335,273
RP1-28O10.1,ENSG00000227591,7
G0S2,ENSG00000123689,185
HSD11B1,ENSG00000117594,8
TRAF3IP3,ENSG00000009790,1296
DIEXF,ENSG00000117597,50
HHAT,ENSG00000054392,7
RCOR3,ENSG00000117625,96
TRAF5,ENSG00000082512,130
SLC30A1,ENSG00000170385,33
NEK2,ENSG00000117650,3
LPGAT1,ENSG00000123684,77
INTS7,ENSG00000143493,20
PPP2R5A,ENSG00000066027,159
TMEM206,ENSG00000065600,50
NENF,ENSG00000117691,400
RP11-61J19.4,ENSG00000260805,7
ATF3,ENSG00000162772,162
RP11-338C15.3,ENSG00000237980,4
BATF3,ENSG00000123685,72
NSL1,ENSG00000117697,244
TATDN3,ENSG00000203705,95
FLVCR1-AS1,ENSG00000198468,19
FLVCR1,ENSG00000162769,20
ANGEL2,ENSG00000174606,80
RPS6KC1,ENSG00000136643,30
SMYD2,ENSG00000143499,121
CENPF,ENSG00000117724,8
KCTD3,ENSG00000136636,6
GPATCH2,ENSG00000092978,54
RRP15,ENSG00000067533,78
LYPLAL1,ENSG00000143353,110
EPRS,ENSG00000136628,195
BPNT1,ENSG00000162813,52
IARS2,ENSG00000067704,114
RAB3GAP2,ENSG00000118873,84
C1orf115,ENSG00000162817,3
MARC2,ENSG00000117791,8
MARC1,ENSG00000186205,24
HLX,ENSG00000136630,14
DUSP10,ENSG00000143507,60
TAF1A,ENSG00000143498,32
RP11-378J18.3,ENSG00000225265,5
MIA3,ENSG00000154305,115
AIDA,ENSG00000186063,49
BROX,ENSG00000162819,71
FAM177B,ENSG00000197520,17
RP11-452F19.3,ENSG00000228106,49
DISP1,ENSG00000154309,10
TLR5,ENSG00000187554,18
SUSD4,ENSG00000143502,18
CAPN8,ENSG00000203697,5
CAPN2,ENSG00000162909,597
TP53BP2,ENSG00000143514,34
RP11-504P24.8,ENSG00000272645,6
RP11-504P24.6,ENSG00000263182,6
FBXO28,ENSG00000143756,57
DEGS1,ENSG00000143753,359
NVL,ENSG00000143748,44
CNIH4,ENSG00000143771,218
WDR26,ENSG00000162923,69
CNIH3,ENSG00000143786,12
LBR,ENSG00000143815,260
ENAH,ENSG00000154380,3
SRP9,ENSG00000143742,890
EPHX1,ENSG00000143819,9
RP11-285F7.2,ENSG00000242861,46
TMEM63A,ENSG00000196187,139
PYCR2,ENSG00000143811,250
SDE2,ENSG00000143751,59
H3F3A,ENSG00000163041,1032
ACBD3,ENSG00000182827,58
LIN9,ENSG00000183814,13
PARP1,ENSG00000143799,311
ITPKB,ENSG00000143772,106
ITPKB-AS1,ENSG00000228548,3
PSEN2,ENSG00000143801,18
ADCK3,ENSG00000163050,113
ZNF678,ENSG00000181450,33
SNAP47,ENSG00000143740,103
JMJD4,ENSG00000081692,70
ARF1,ENSG00000143761,1222
C1orf35,ENSG00000143793,178
MRPL55,ENSG00000162910,472
GUK1,ENSG00000143774,1295
IBA57,ENSG00000181873,28
C1orf145,ENSG00000162913,3
OBSCN,ENSG00000154358,21
TRIM11,ENSG00000154370,103
HIST3H2A,ENSG00000181218,9
RNF187,ENSG00000168159,384
RHOU,ENSG00000116574,10
RAB4A,ENSG00000168118,325
RP4-803J11.2,ENSG00000237481,5
CCSAP,ENSG00000154429,9
NUP133,ENSG00000069248,23
ABCB10,ENSG00000135776,16
TAF5L,ENSG00000135801,14
URB2,ENSG00000135763,13
RP11-552D4.1,ENSG00000228058,3
GALNT2,ENSG00000143641,71
COG2,ENSG00000135775,109
C1orf198,ENSG00000119280,8
TTC13,ENSG00000143643,47
ARV1,ENSG00000173409,95
FAM89A,ENSG00000182118,9
C1orf131,ENSG00000143633,194
GNPAT,ENSG00000116906,167
EXOC8,ENSG00000116903,31
SPRTN,ENSG00000010072,98
EGLN1,ENSG00000135766,127
RP11-295G20.2,ENSG00000233461,40
TSNAX,ENSG00000116918,263
DISC1,ENSG00000162946,25
SIPA1L2,ENSG00000116991,3
MAP10,ENSG00000212916,5
NTPCR,ENSG00000135778,117
PCNXL2,ENSG00000135749,24
SLC35F3,ENSG00000183780,6
RP5-827C21.4,ENSG00000231663,69
COA6,ENSG00000168275,234
TARBP1,ENSG00000059588,105
IRF2BP2,ENSG00000168264,288
RP4-781K5.2,ENSG00000228830,4
RP11-443B7.1,ENSG00000238005,6
RP11-443B7.3,ENSG00000258082,4
TOMM20,ENSG00000173726,720
RBM34,ENSG00000188739,49
ARID4B,ENSG00000054267,415
GGPS1,ENSG00000152904,234
TBCE,ENSG00000116957,39
B3GALNT2,ENSG00000162885,14
LYST,ENSG00000143669,333
NID1,ENSG00000116962,6
GPR137B,ENSG00000077585,67
ERO1LB,ENSG00000086619,58
EDARADD,ENSG00000186197,13
LGALS8,ENSG00000116977,176
LGALS8-AS1,ENSG00000223776,3
RP11-385F5.5,ENSG00000273058,6
HEATR1,ENSG00000119285,43
MTR,ENSG00000116984,44
GREM2,ENSG00000180875,5
FH,ENSG00000091483,150
KMO,ENSG00000117009,40
OPN3,ENSG00000054277,112
CHML,ENSG00000203668,7
RP11-261C10.3,ENSG00000214837,4
CEP170,ENSG00000143702,39
SDCCAG8,ENSG00000054282,157
AKT3,ENSG00000117020,31
ZBTB18,ENSG00000179456,23
ADSS,ENSG00000035687,271
C1orf101,ENSG00000179397,4
DESI2,ENSG00000121644,71
COX20,ENSG00000203667,209
HNRNPU-AS1,ENSG00000188206,41
HNRNPU,ENSG00000153187,668
RP11-11N7.4,ENSG00000273175,3
RP11-156E8.1,ENSG00000272195,32
EFCAB2,ENSG00000203666,122
SMYD3,ENSG00000185420,114
TFB2M,ENSG00000162851,77
CNST,ENSG00000162852,112
SCCPDH,ENSG00000143653,136
AHCTF1,ENSG00000153207,36
ZNF670,ENSG00000135747,9
ZNF669,ENSG00000188295,42
ZNF124,ENSG00000196418,33
RP11-488L18.10,ENSG00000259865,22
RP11-488L18.8,ENSG00000232347,6
ZNF496,ENSG00000162714,19
NLRP3,ENSG00000162711,75
TRIM58,ENSG00000162722,7
SH3BP5L,ENSG00000175137,23
ZNF672,ENSG00000171161,88
ZNF692,ENSG00000171163,52
PGBD2,ENSG00000185220,59
SH3YL1,ENSG00000035115,266
ACP1,ENSG00000143727,634
TMEM18,ENSG00000151353,181
AC116614.1,ENSG00000235688,4
TPO,ENSG00000115705,3
TSSC1,ENSG00000032389,154
TRAPPC12,ENSG00000171853,150
TRAPPC12-AS1,ENSG00000225234,12
ADI1,ENSG00000182551,428
AC142528.1,ENSG00000235078,11
AC108488.4,ENSG00000242282,6
RNASEH1,ENSG00000171865,137
RNASEH1-AS1,ENSG00000234171,58
RPS7,ENSG00000171863,2671
CMPK2,ENSG00000134326,166
RSAD2,ENSG00000134321,151
RNF144A,ENSG00000151692,30
AC092580.4,ENSG00000235576,129
LINC00299,ENSG00000236790,4
AC011747.4,ENSG00000236008,4
ID2,ENSG00000115738,1040
KIDINS220,ENSG00000134313,94
MBOAT2,ENSG00000143797,8
ASAP2,ENSG00000151693,5
ITGB1BP1,ENSG00000119185,441
CPSF3,ENSG00000119203,83
IAH1,ENSG00000134330,434
ADAM17,ENSG00000151694,48
RP11-214N9.1,ENSG00000271855,10
YWHAQ,ENSG00000134308,774
TAF1B,ENSG00000115750,61
RP11-95D17.1,ENSG00000269973,4
RP11-254F7.2,ENSG00000260077,25
KLF11,ENSG00000172059,63
RRM2,ENSG00000171848,12
HPCAL1,ENSG00000115756,374
ODC1,ENSG00000115758,275
NOL10,ENSG00000115761,69
RN7SL832P,ENSG00000243819,21
ATP6V1C2,ENSG00000143882,11
RP11-791G15.2,ENSG00000272275,3
PDIA6,ENSG00000143870,644
PQLC3,ENSG00000162976,267
ROCK2,ENSG00000134318,20
E2F6,ENSG00000169016,25
LPIN1,ENSG00000134324,160
TRIB2,ENSG00000071575,108
NBAS,ENSG00000151779,50
DDX1,ENSG00000079785,167
FAM49A,ENSG00000197872,135
SMC6,ENSG00000163029,63
GEN1,ENSG00000178295,4
RP11-111J6.2,ENSG00000260331,3
RDH14,ENSG00000240857,222
LINC00954,ENSG00000228784,57
TTC32,ENSG00000183891,83
WDR35,ENSG00000118965,10
LAPTM4A,ENSG00000068697,599
PUM2,ENSG00000055917,73
RHOB,ENSG00000143878,346
HS1BP3,ENSG00000118960,64
C2orf43,ENSG00000118961,42
KLHL29,ENSG00000119771,3
ATAD2B,ENSG00000119778,30
UBXN2A,ENSG00000173960,86
MFSD2B,ENSG00000205639,6
C2orf44,ENSG00000163026,6
FKBP1B,ENSG00000119782,13
SF3B14,ENSG00000115128,542
FAM228B,ENSG00000219626,68
TP53I3,ENSG00000115129,26
FAM228A,ENSG00000186453,3
ITSN2,ENSG00000198399,264
NCOA1,ENSG00000084676,100
PTRHD1,ENSG00000184924,352
CENPO,ENSG00000138092,10
ADCY3,ENSG00000138031,13
DNAJC27,ENSG00000115137,5
DNAJC27-AS1,ENSG00000224165,17
POMC,ENSG00000115138,169
DNMT3A,ENSG00000119772,60
AC012074.2,ENSG00000235072,3
DTNB,ENSG00000138101,57
AC104699.1,ENSG00000224220,3
ASXL2,ENSG00000143970,72
KIF3C,ENSG00000084731,7
AC013449.1,ENSG00000268412,4
RAB10,ENSG00000084733,403
GAREML,ENSG00000157833,7
HADHA,ENSG00000084754,562
HADHB,ENSG00000138029,382
EPT1,ENSG00000138018,19
OTOF,ENSG00000115155,6
SLC35F6,ENSG00000213699,36
CENPA,ENSG00000115163,5
MAPRE3,ENSG00000084764,23
TMEM214,ENSG00000119777,77
AGBL5,ENSG00000084693,22
OST4,ENSG00000228474,1519
KHK,ENSG00000138030,28
ABHD1,ENSG00000143994,5
PREB,ENSG00000138073,137
SLC5A6,ENSG00000138074,51
ATRAID,ENSG00000138085,740
CAD,ENSG00000084774,18
TRIM54,ENSG00000138100,3
MPV17,ENSG00000115204,169
GTF3C2,ENSG00000115207,47
AC074117.10,ENSG00000234072,6
EIF2B4,ENSG00000115211,86
SNX17,ENSG00000115234,590
ZNF513,ENSG00000163795,8
PPM1G,ENSG00000115241,434
NRBP1,ENSG00000115216,229
KRTCAP3,ENSG00000157992,27
IFT172,ENSG00000138002,8
ZNF512,ENSG00000243943,50
CCDC121,ENSG00000176714,6
GPN1,ENSG00000198522,146
SUPT7L,ENSG00000119760,89
SLC4A1AP,ENSG00000163798,70
MRPL33,ENSG00000243147,311
RBKS,ENSG00000171174,48
BRE,ENSG00000158019,196
FOSL2,ENSG00000075426,89
PLB1,ENSG00000163803,14
PPP1CB,ENSG00000213639,207
SPDYA,ENSG00000163806,4
TRMT61B,ENSG00000171103,90
WDR43,ENSG00000163811,100
FAM179A,ENSG00000189350,6
CLIP4,ENSG00000115295,58
YPEL5,ENSG00000119801,902
LBH,ENSG00000213626,451
LCLAT1,ENSG00000172954,45
EHD3,ENSG00000013016,12
MEMO1,ENSG00000162959,38
DPY30,ENSG00000162961,408
SPAST,ENSG00000021574,30
RP11-563N4.1,ENSG00000272716,21
SLC30A6,ENSG00000152683,21
NLRC4,ENSG00000091106,23
YIPF4,ENSG00000119820,287
AL133245.2,ENSG00000272754,12
BIRC6,ENSG00000115760,168
TTC27,ENSG00000018699,61
RASGRP3,ENSG00000152689,40
FAM98A,ENSG00000119812,35
RP11-490M8.1,ENSG00000260025,3
CRIM1,ENSG00000150938,3
FEZ2,ENSG00000171055,123
VIT,ENSG00000205221,11
STRN,ENSG00000115808,35
HEATR5B,ENSG00000008869,53
GPATCH11,ENSG00000152133,33
EIF2AK2,ENSG00000055332,295
CEBPZ-AS1,ENSG00000218739,197
CEBPZ,ENSG00000115816,179
NDUFAF7,ENSG00000003509,68
PRKD3,ENSG00000115825,69
QPCT,ENSG00000115828,130
AC006369.2,ENSG00000236213,59
CDC42EP3,ENSG00000163171,335
LINC00211,ENSG00000237803,7
RMDN2,ENSG00000115841,36
CYP1B1,ENSG00000138061,15
ATL2,ENSG00000119787,31
HNRNPLL,ENSG00000143889,89
